,0
431,5.02029430398065e-09
432,5.02029430398065e-09
433,5.02029430398065e-09
434,5.02029430398065e-09
435,5.02029430398065e-09
436,5.02029430398065e-09
437,5.02029430398065e-09
438,5.02029430398065e-09
439,5.02029430398065e-09
440,5.02029430398065e-09
441,5.02029430398065e-09
442,5.02029430398065e-09
443,5.02029430398065e-09
444,5.02029430398065e-09
445,5.02029430398065e-09
446,5.02029430398065e-09
447,5.02029430398065e-09
448,5.02029430398065e-09
449,5.02029430398065e-09
450,5.02029430398065e-09
451,5.02029430398065e-09
452,5.02029430398065e-09
453,5.02029430398065e-09
454,5.02029430398065e-09
455,5.02029430398065e-09
456,5.02029430398065e-09
457,5.02029430398065e-09
458,5.02029430398065e-09
459,5.02029430398065e-09
460,5.02029430398065e-09
461,5.02029430398065e-09
462,5.02029430398065e-09
463,5.02029430398065e-09
464,5.02029430398065e-09
465,5.02029430398065e-09
466,5.02029430398065e-09
467,5.02029430398065e-09
468,5.02029430398065e-09
469,5.02029430398065e-09
470,5.02029430398065e-09
471,5.02029430398065e-09
472,5.02029430398065e-09
473,5.02029430398065e-09
474,5.02029430398065e-09
475,5.02029430398065e-09
476,5.02029430398065e-09
477,5.02029430398065e-09
478,5.02029430398065e-09
479,5.02029430398065e-09
480,5.02029430398065e-09
481,5.02029430398065e-09
482,5.02029430398065e-09
483,5.02029430398065e-09
484,5.02029430398065e-09
485,5.02029430398065e-09
486,5.02029430398065e-09
487,5.02029430398065e-09
488,5.02029430398065e-09
489,5.02029430398065e-09
490,5.02029430398065e-09
491,5.02029430398065e-09
492,5.02029430398065e-09
493,5.02029430398065e-09
494,5.02029430398065e-09
495,5.02029430398065e-09
496,5.02029430398065e-09
497,5.02029430398065e-09
498,5.02029430398065e-09
499,5.02029430398065e-09
500,5.02029430398065e-09
501,5.02029430398065e-09
502,5.02029430398065e-09
503,5.02029430398065e-09
504,5.02029430398065e-09
505,5.02029430398065e-09
506,5.02029430398065e-09
507,5.02029430398065e-09
508,5.02029430398065e-09
509,5.02029430398065e-09
510,5.02029430398065e-09
511,5.02029430398065e-09
512,5.02029430398065e-09
513,5.02029430398065e-09
514,5.02029430398065e-09
515,5.02029430398065e-09
516,5.02029430398065e-09
517,5.02029430398065e-09
518,5.02029430398065e-09
519,5.02029430398065e-09
520,5.02029430398065e-09
521,5.02029430398065e-09
522,5.02029430398065e-09
523,5.02029430398065e-09
524,5.02029430398065e-09
525,5.02029430398065e-09
526,5.02029430398065e-09
527,5.02029430398065e-09
528,5.02029430398065e-09
529,5.02029430398065e-09
530,5.02029430398065e-09
531,5.02029430398065e-09
532,5.02029430398065e-09
533,5.02029430398065e-09
534,5.02029430398065e-09
535,5.02029430398065e-09
536,5.02029430398065e-09
537,5.02029430398065e-09
538,5.02029430398065e-09
539,5.02029430398065e-09
540,5.02029430398065e-09
541,5.02029430398065e-09
542,5.02029430398065e-09
543,5.02029430398065e-09
544,5.02029430398065e-09
545,5.02029430398065e-09
546,5.02029430398065e-09
547,5.02029430398065e-09
548,5.02029430398065e-09
549,5.02029430398065e-09
550,5.02029430398065e-09
551,5.02029430398065e-09
552,5.02029430398065e-09
553,5.02029430398065e-09
554,5.02029430398065e-09
555,5.02029430398065e-09
556,5.02029430398065e-09
557,5.02029430398065e-09
558,5.02029430398065e-09
559,5.02029430398065e-09
560,5.02029430398065e-09
561,5.02029430398065e-09
562,5.02029430398065e-09
563,5.02029430398065e-09
564,5.02029430398065e-09
565,5.02029430398065e-09
566,5.02029430398065e-09
567,5.02029430398065e-09
568,5.02029430398065e-09
569,5.02029430398065e-09
570,5.02029430398065e-09
571,5.02029430398065e-09
572,5.02029430398065e-09
573,5.02029430398065e-09
574,5.02029430398065e-09
575,5.02029430398065e-09
576,5.02029430398065e-09
577,5.02029430398065e-09
578,5.02029430398065e-09
579,5.02029430398065e-09
580,5.02029430398065e-09
581,5.02029430398065e-09
582,5.02029430398065e-09
583,5.02029430398065e-09
584,5.02029430398065e-09
585,5.02029430398065e-09
586,5.02029430398065e-09
587,5.02029430398065e-09
588,5.02029430398065e-09
589,5.02029430398065e-09
590,5.02029430398065e-09
591,5.02029430398065e-09
592,5.02029430398065e-09
593,5.02029430398065e-09
594,5.02029430398065e-09
595,5.02029430398065e-09
596,5.02029430398065e-09
597,5.02029430398065e-09
598,5.02029430398065e-09
599,5.02029430398065e-09
600,5.02029430398065e-09
601,5.02029430398065e-09
602,5.02029430398065e-09
603,5.02029430398065e-09
604,5.02029430398065e-09
605,5.02029430398065e-09
606,5.02029430398065e-09
607,5.02029430398065e-09
608,5.02029430398065e-09
609,5.02029430398065e-09
610,5.02029430398065e-09
611,5.02029430398065e-09
612,5.02029430398065e-09
613,5.02029430398065e-09
614,5.02029430398065e-09
615,5.02029430398065e-09
616,5.02029430398065e-09
617,5.02029430398065e-09
618,5.02029430398065e-09
619,5.02029430398065e-09
620,5.02029430398065e-09
621,5.02029430398065e-09
622,5.02029430398065e-09
623,5.02029430398065e-09
624,5.02029430398065e-09
625,5.02029430398065e-09
626,5.02029430398065e-09
627,5.02029430398065e-09
628,5.02029430398065e-09
629,5.02029430398065e-09
630,5.02029430398065e-09
631,5.02029430398065e-09
632,5.02029430398065e-09
633,5.02029430398065e-09
634,5.02029430398065e-09
635,5.02029430398065e-09
636,5.02029430398065e-09
637,5.02029430398065e-09
638,5.02029430398065e-09
639,5.02029430398065e-09
640,5.02029430398065e-09
641,5.02029430398065e-09
642,5.02029430398065e-09
643,5.02029430398065e-09
644,5.02029430398065e-09
645,5.02029430398065e-09
646,5.02029430398065e-09
647,5.02029430398065e-09
648,5.02029430398065e-09
649,5.02029430398065e-09
650,5.02029430398065e-09
651,5.02029430398065e-09
652,5.02029430398065e-09
653,5.02029430398065e-09
654,5.02029430398065e-09
655,5.02029430398065e-09
656,5.02029430398065e-09
657,5.02029430398065e-09
658,5.02029430398065e-09
659,5.02029430398065e-09
660,5.02029430398065e-09
661,5.02029430398065e-09
662,5.02029430398065e-09
663,5.02029430398065e-09
664,5.02029430398065e-09
665,5.02029430398065e-09
666,5.02029430398065e-09
667,5.02029430398065e-09
668,5.02029430398065e-09
669,5.02029430398065e-09
670,5.02029430398065e-09
671,5.02029430398065e-09
672,5.02029430398065e-09
673,5.02029430398065e-09
674,5.02029430398065e-09
675,5.02029430398065e-09
676,5.02029430398065e-09
677,5.02029430398065e-09
678,5.02029430398065e-09
679,5.02029430398065e-09
680,5.02029430398065e-09
681,5.02029430398065e-09
682,5.02029430398065e-09
683,5.02029430398065e-09
684,5.02029430398065e-09
685,5.02029430398065e-09
686,5.02029430398065e-09
687,5.02029430398065e-09
688,5.02029430398065e-09
689,5.02029430398065e-09
690,5.02029430398065e-09
691,5.02029430398065e-09
692,5.02029430398065e-09
693,5.02029430398065e-09
694,5.02029430398065e-09
695,5.02029430398065e-09
696,5.02029430398065e-09
697,5.02029430398065e-09
698,5.02029430398065e-09
699,5.02029430398065e-09
700,5.02029430398065e-09
701,5.02029430398065e-09
702,5.02029430398065e-09
703,5.02029430398065e-09
704,5.02029430398065e-09
705,5.02029430398065e-09
706,5.02029430398065e-09
707,5.02029430398065e-09
708,5.02029430398065e-09
709,5.02029430398065e-09
710,5.02029430398065e-09
711,5.02029430398065e-09
712,5.02029430398065e-09
713,5.02029430398065e-09
714,5.02029430398065e-09
715,5.02029430398065e-09
716,5.02029430398065e-09
717,5.02029430398065e-09
718,5.02029430398065e-09
719,5.02029430398065e-09
720,5.02029430398065e-09
721,5.02029430398065e-09
722,5.02029430398065e-09
723,5.02029430398065e-09
724,5.02029430398065e-09
725,5.02029430398065e-09
726,5.02029430398065e-09
727,5.02029430398065e-09
