agent_id,t_step,key,value
210,0,id,not_exposed
211,0,prob_neighbor_spread,0.4
211,0,prob_search_spread,0.4
211,0,prob_be_infected,0.4
211,0,id,not_exposed
212,0,prob_neighbor_spread,0.2
212,0,prob_search_spread,0.2
212,0,prob_be_infected,0.3
213,0,prob_neighbor_spread,0.1
213,0,prob_search_spread,0.1
213,0,prob_be_infected,0.2
213,0,id,not_exposed
214,0,prob_neighbor_spread,0.4
214,0,prob_search_spread,0.4
214,0,prob_be_infected,0.4
214,0,id,not_exposed
215,0,prob_neighbor_spread,0.1
215,0,prob_search_spread,0.1
215,0,prob_be_infected,0.2
215,0,id,not_exposed
216,0,prob_neighbor_spread,0.1
216,0,prob_search_spread,0.1
216,0,prob_be_infected,0.2
217,0,prob_neighbor_spread,0.1
217,0,prob_search_spread,0.1
217,0,prob_be_infected,0.2
218,0,prob_neighbor_spread,0.4
218,0,prob_search_spread,0.4
218,0,prob_be_infected,0.4
219,0,prob_neighbor_spread,0.1
219,0,prob_search_spread,0.1
219,0,prob_be_infected,0.2
219,0,id,not_exposed
220,0,prob_neighbor_spread,0.4
220,0,prob_search_spread,0.4
220,0,prob_be_infected,0.4
220,0,id,not_exposed
221,0,prob_neighbor_spread,0.4
221,0,prob_search_spread,0.4
221,0,prob_be_infected,0.4
222,0,prob_neighbor_spread,0.2
222,0,prob_search_spread,0.2
222,0,prob_be_infected,0.3
223,0,prob_neighbor_spread,0.2
223,0,prob_search_spread,0.2
223,0,prob_be_infected,0.3
223,0,id,not_exposed
224,0,prob_neighbor_spread,0.1
224,0,prob_search_spread,0.1
224,0,prob_be_infected,0.2
224,0,id,not_exposed
225,0,prob_neighbor_spread,0.2
225,0,prob_search_spread,0.2
225,0,prob_be_infected,0.3
225,0,id,not_exposed
226,0,prob_neighbor_spread,0.2
226,0,prob_search_spread,0.2
226,0,prob_be_infected,0.3
226,0,id,not_exposed
227,0,prob_neighbor_spread,0.2
227,0,prob_search_spread,0.2
227,0,prob_be_infected,0.3
228,0,prob_neighbor_spread,0.1
228,0,prob_search_spread,0.1
228,0,prob_be_infected,0.2
229,0,prob_neighbor_spread,0.2
229,0,prob_search_spread,0.2
229,0,prob_be_infected,0.3
229,0,id,not_exposed
230,0,prob_neighbor_spread,0.1
230,0,prob_search_spread,0.1
230,0,prob_be_infected,0.2
231,0,prob_neighbor_spread,0.2
231,0,prob_search_spread,0.2
231,0,prob_be_infected,0.3
231,0,id,not_exposed
232,0,prob_neighbor_spread,0.4
232,0,prob_search_spread,0.4
232,0,prob_be_infected,0.4
232,0,id,not_exposed
233,0,prob_neighbor_spread,0.2
233,0,prob_search_spread,0.2
